question;reponse;thematiques
Envoi Je suis vendeur Le vendeur peut-il modifier le mode de livraison ?;"Le vendeur peut-il modifier le mode de livraison ?
Tu peux modifier les modes d’envoi que tu proposes à tes acheteursuniquement avant qu'ils achètent tes articles. Tu peux gérer les options d’envoi dans tesparamètres .
Avant d’appuyer sur le boutonAcheter , l'acheteur sélectionne le mode de livraison avec lequel tu dois lui envoyer l’article. Les frais d'envois sont payés par l'acheteur après avoir été ajoutés au prix des articles.
Il est nécessaire de respecter le choix de ton acheteur etsuivre les instructions de livraison que tu as reçues dans ta boîte de réception. Dans le cas contraire, ta commande risque d’êtreannulée et l'acheteur, remboursé.";Envoi Je suis vendeur
Envoi Je suis vendeur Comment ajouter une preuve d’envoi / numéro de suivi sur Vinted ?;"Comment ajouter une preuve d’envoi / numéro de suivi sur Vinted ?
En ajoutant une preuve d’envoi / numéro de suivi, tu notifies à ton acheteur que l’article a bien été envoyé. Cela lui permet aussi de suivre la livraison du colis.
Tu peux ajouter le numéro de suivi si ton colis a été envoyé via :
La PosteColissimoBpostPostNLPostLUCorreos International
Comment ajouter une preuve d’envoi ?
Ouvre lesinstructions d’envoi disponibles dans ta fenêtre de conversation avec l’acheteur.Après avoir envoyé ton colis, clique surArticle envoyé et entre le numéro de suivi pour confirmer ton envoi.
Bon à savoir :
Lorsque tu envoie ton article viaLa Poste, Colissimo, Bpost, PostNL, PostLU , ou bienCorreos International , il est important de conserver tes preuves d’envoi : Une photo montrant lisiblement l’adresse de l’acheteur sur l’étiquette du colis, et le bordereau ou le récépissé d’envoi.Si tu as envoyé ton article via Mondial Relay, Correos ou Chrono Shop2Shop, tu n'as pas besoin d'entrer le numéro de suivi, car le statut de la livraison se met automatiquement à jour dans ta fenêtre de conversation avec l’acheteur.Si tu as envoyé ton article avecles frais de port personnalisés , assure-toi que le transporteur propose l’envoi avec suivi de livraison. Tu n'as pas besoin d'entrer le numéro de suivi, mais conserve ton reçu et envoie une photo de celui-ci à ton acheteur.";Envoi Je suis vendeur
Envoi Je suis vendeur Qui paie les frais de port ?;"Qui paie les frais de port ?
Sur Vinted les frais de port sont toujours ajoutés au prix de l’article et réglés par l’acheteur lorsqu'ils effectuent un paiement.
Les vendeurs doivent toujours envoyer leurs articles en utilisant le mode de livraison choisi par l’acheteur.
La mise en place des frais de port lorsqu'une vente :
Mondial Relay, Correos Domicilio, Correos Oficina, DPD ou Chrono Shop2Shop : 1. L'acheteur règle le montant de l'article et les frais de port.
------
Mondial Relay, Correos Domicilio, Correos Oficina, DPD ou Chrono Shop2Shop : 2. Le vendeur reçoit le bordereau d'envoi.
------
Mondial Relay, Correos Domicilio, Correos Oficina, DPD ou Chrono Shop2Shop : 3. Le vendeur utilise le bordereau d'envoi reçu et envoi le colis, sans payer de frais de port.
------
La Poste, Colissimo, Bpost, PostNL, PostLU, Correos International : 1. L'acheteur règle le montant de l'article et les frais de port.
------
La Poste, Colissimo, Bpost, PostNL, PostLU, Correos International : 2. Le vendeur règle les frais de port au moment d'envoyer le colis au bureau de poste. Les frais de port et le fournisseur sont indiqués dans les instructions de livraison. Nous les envoyons à la boîte de réception du vendeur.
------
La Poste, Colissimo, Bpost, PostNL, PostLU, Correos International : 3. Après la livraison, le paiement de l'acheteur est transféré au vendeur. Ce montant comprend les frais de port ainsi que le prix de l'article fixé par le vendeur.
------
Colissimo, Bpost, Correos International sont les modes d’envoi internationaux permettant aux vendeurs d’envoyer leurs articles à l’étranger. L’envoi international pour les vendeurs est activé par défaut. L’expédition internationale est possible en Belgique, en Espagne, en France, au Luxembourg et aux Pays-Bas.
Frais de port personnalisés : 1. L'acheteur règle le montant de l'article et les frais de port.
------
Frais de port personnalisés : 2. Le vendeur paye les frais de port au moment de l'envoi.
------
Frais de port personnalisés : 3. Après la livraison, le paiement de l'acheteur est transféré au vendeur. Ce montant comprend les frais de port ainsi que le prix de l'article fixé par le vendeur.
------
Frais de port personnalisés permettent aux vendeurs d’envoyer leur article avec le transporteur de leur choix. Pour proposer ce type de livraison, les vendeurs doivent indiquer le prix de l’envoi personnalisé en ajoutant l’article au catalogue.";Envoi Je suis vendeur
Envoi Je suis vendeur Comment emballer mon article ?;"Comment emballer mon article ?
Avant d’envoyer un article vendu, il faut t’assurer qu’il est correctement emballé et peut transiter jusqu’à l’acheteur en toute sécurité :
Utilise un emballage rigide:Il est mieux d’utiliser un emballage extérieur rigide et solide.Choisis la bonnetaille de colis: Celle-ci doit correspondre à la taille et à la forme de l’article. Par exemple, n’utilise pas de boite à chaussures pour emballer une paire de gants.Sécurise bien les articles fragiles:Ils ne doivent pas bouger à l’intérieur du colis. Remplis l’espace avec du papier bulle, du polystyrène, ou bien du papier. Les parties les plus fragiles ne devraient pas être en contact avec l’emballage extérieur.Protège ton article de la poussière et de l’humidité: Un sac en plastique recyclé pourra protéger ton article de la poussière et de l’humidité durant le transit.
ImportantSi l’article est endommagé durant le transit à cause d’un emballage inadapté, il est possible que nous devions annuler la transaction et rembourser l’acheteur (conformément à notrePolitique de Remboursement.
Bon à savoir :
Consulte laliste des tarifspour les options d’envoi et les conditions d’emballage de nos partenaires de livraison.La plupart des acheteurs appréciera grandement une petite touche personnelle apportée à l’envoi (comme une carte ou un petit cadeau).";Envoi Je suis vendeur
Envoi Je suis vendeur Comment envoyer l'article ?;"Comment envoyer l'article ?
L’envoi d’un article est simple sur Vinted. Suis les étapes ci-dessous :
1. Définis la bonne taille du colis.
Lorsque tu ajoutes un article, choisisla taille du colis qui convient le mieux.
2. Gère tes options d'envoi.
Choisisles modes d'envoi que tu veux offrir à tes acheteurs et gère-les dans lesOptions d'envoi vendeur sur ton profil.
3. C'est vendu ! Il est heure d’envoyer ton article !
Lorsque quelqu’un achète ton article, tu en seras informé par courriel et dans ta boîte de réception Vinted.Tu trouveras les instructions d’envoi dans ta fenêtre de conversation avec l’acheteur.Important ! Tu dois toujours envoyer tes articles en utilisant le mode de livraison choisi par l’acheteur.Les frais de port sont toujours réglés par l’acheteur:
Si l’acheteur a choisi Mondial Relay, Correos Domicilio, Correos Oficina, DPD ou Chrono Shop2Shop, tu trouveras le bordereau d’envoi dans ta fenêtre de conversation avec l’acheteur.Si l’acheteur a choisi La Poste, Colissimo, PostNL, PostLU, Bpost ou Correos International, ou les frais de port personnalisés, tu devras payer d’avance les frais de port et dès que la commande sera complétée, tu seras remboursé dans ton porte-monnaie Vinted.
N’oublie pas d’envoyer le colis sous 5 jours ouvrés et de conserver le reçu, sinon la commande seraannulée.
4. Fais-nous savoir que tu l’as expédié.
Dès que tu envoies l'article, reviens à la conversation et suis les étapes suivantes :
Si tu as expédié avec La Poste, Colissimo, Bpost, PostNL, PostLU, Correos International ou les frais de port personnalisés, merci d’insérer le numéro de suivi / joindre ton reçu d'envoi et cliquer surArticle envoyé.Si tu as expédié avec Mondial Relay, Correos Domicilio, Correos Oficina, DPD ou Chrono Shop2Shop, tu n’as rien à faire, le suivi se met à jour automatiquement.
5. C’est fait !
Dès que l’acheteur recevra l’article et confirmera quetout est ok , le paiement de l’article sera transféré danston porte-monnaie Vinted .
Bon à savoir :
Pour vendre plus rapidement, nous te conseillons d’offrir à tes acheteurs le plus d’options d’envoi possible. Cependant, assure-toi de proposer uniquement les options avec lesquelles tu pourras envoyer tes articles.Un mauvais choix de la taille de ton colis peut entraîner des frais d’expédition supplémentaires pour toi et même une évaluation négative de la part de ton acheteur.";Envoi Je suis vendeur
Envoi Je suis vendeur Comment choisir le format de mon colis ?;"Comment choisir le format de mon colis ?
Lorsque tu mets un article en ligne, tu dois choisir la taille du colis. Il est impossible de changer la taille une fois l’achat effectué, c’est pourquoi il est primordial de choisir correctement la taille du colis correspondant à ton article dès sa mise en ligne.
ImportantUn mauvais choix de la taille du colis peut aboutir à un retour du colis, à des frais d’envoi supplémentaires, des frais à payer à l’arrivée du colis, ou même une évaluation négative de la part de l’acheteur.
Guide des tailles de colis
Taille du colis : Petit
Exemples de contenu : Tee-shirts, écharpes, ceintures, mini jupes, taies d’oreiller, etc
------
Taille du colis : Moyen
Exemples de contenu : Jeans, chaussures, pulls, blazers, serviettes de bain, etc
------
Taille du colis : Grand
Exemples de contenu : Bottes, sacs à dos, lots de vêtements, etc
------
Taille du colis : Articles lourds
Exemples de contenu : Patins à roulettes, petits meubles, vases, etc. (jusqu’à 5 kg)
------
Taille du colis : Articles lourds
Exemples de contenu : Meubles, poussettes pliables, miroirs muraux, tapis, etc. (jusqu’à 10 kg)
------
Taille du colis : Articles lourds
Exemples de contenu : Sièges auto, autres articles lourds (juqu’à 20 kg)
------
Bon à savoir :
Dans certaines sous-catégories, certaines tailles de colis ne sont pas disponibles (en général, pour les articles lourds).";Envoi Je suis vendeur
Envoi Je suis vendeur Je ne parviens pas à télécharger le bordereau d'envoi;"Je ne parviens pas à télécharger le bordereau d'envoi
Lorsque tu cliques sur le boutonTélécharger dans ta conversation avec l’acheteur, le bordereau t’est envoyé sur l’adresse email associée à ton compte Vinted.
En plus de cela, si tu utilises un ordinateur, le bordereau est automatiquement téléchargé : tu peux donc aussi le trouver dans le dossierTéléchargements (ou équivalent). C’est pourquoi si tu utilises l’application et que tu rencontres des difficultés pour télécharger le bordereau d'envoi Mondial Relay ou Chrono Shop2Shop, nous te conseillons d’essayer de le télécharger depuis un ordinateur avant toute chose.
Si tu n’as pas accès à un ordinateur ou que le téléchargement automatique ne se lance pas, et que tu n’as pas reçu d’email :
Vérifie tout d’abord que l’adresse email que tu as renseignée dans ton profil ne comporte pas d’erreur. N’hésite pas à la supprimer et à la rentrer de nouveau.Vérifie ensuite que le bordereau n'est pas arrivé dans ton dossier spams par erreur (cherche un e-mail provenant de no-reply@vinted.fr). N.B. Si tu as trouvé le bordereau dans ton dossier spams, pense à ajouter l'adresse no-reply@vinted.fr à ta liste de contacts.Note que 15 minutes peuvent s'écouler entre le moment où tu cliques surRecevoir le bordereau d'expédition et son arrivée dans ta boîte mail.
Bon à savoir :
Il arrive que l’édition du bordereau échoue lorsque le Point Relais choisi par l’acheteur n’est pas valide (il peut être fermé pour vacances, par exemple). Afin de régler ce problème, il faut annuler la transaction après en avoir parlé avec l’acheteur et re-publier l’annonce. L’acheteur doit ensuite procéder de nouveau à l’achat en faisant bien attention de choisir un autre Point Relais.Il est également possible que le problème que tu rencontres soit dû un bug temporaire. Tu peux essayer de télécharger le bordereau de nouveau dans une heure ou deux.";Envoi Je suis vendeur
Envoi Je suis vendeur Sous quel délai dois-je envoyer mon article ?;"Sous quel délai dois-je envoyer mon article ?
Après le paiement de l’acheteur, tu as5 jours ouvrés pour envoyer l’article . Si le colis n’est pas envoyé dans le temps imparti, la transaction sera annulée.
Comme le transporteur peut mettre jusqu’à 48 heures avant que le suivi ne soit mis à jour, nous te conseillons de ne pas attendre le dernier jour pour envoyer l’article.
Si tu n’es pas en mesure d’envoyer l’article à temps :
Informe l’acheteur de la situationAnnule la transactionSi l’acheteur est d’accord, tu éviteras une évaluation négative sur ton profil
La commande sera automatiquement annulée dans les cas suivants :
Si le vendeur ne s'est pas connecté sur Vinted dans les 2 jours ouvrables après la vente.Si le vendeur n’a pas téléchargé le bordereau d’envoi de Mondial Relay, Correos Domicilio, Correos Oficina, DPD ou de Chrono Shop2Shop, ou s’il n’a pas lu les instructions d’envoi (La Poste, Colissimo, Bpost, Correos International, PostNL, PostLU ou les frais de port personnalisés ) 4 jours après achat.Si le vendeur n’a pas expédié son article dans les 5 jours ouvrables après la vente.Si le vendeur a appuyé sur le boutonArticle envoyé mais nous n’avons reçu aucune mise à jour du suivi des colis dans les 4 jours ouvrables. Ceci ne s'applique que si l'acheteur a choisi l'expédition Mondial Relay, Correos Domicilio, Correos Oficina, DPD ou Chrono Shop2Shop.";Envoi Je suis vendeur
Envoi Je suis vendeur Comment suivre ton colis ?;"Comment suivre ton colis ?
Tu peux suivre ton colis s’il a été envoyé avec suivi :
La PosteColissimoBpostPostNLPostLUCorreos DomicilioCorreos OficinaCorreos InternationalMondial RelayChrono Shop2ShopDPD
Suis ton colis :
1. Clique surSuivre le colis dans la fenêtre de conversation avec le vendeur / acheteur
2. Tu auras 3 options :
Voir où est ton colis et la date de livraison estiméeCopier le numéro de suivi, l’insérer sur le site du transporteur pour suivre la livraisonConfirmer que tu as bien reçu l’article.
Bon à savoir :
La mise à jour du suivi sur Vinted peut prendre jusqu’à 48 heures.Pour les acheteurs : si ta transaction est notifiée commeLivrée mais que tu n’as pas encore reçu ton article ou encore que tu as bien reçu l’article mais qu’il ne correspond pas à sa description, tu peux cliquer sur le boutonJ’ai un problème qui apparaîtra dans ta fenêtre de conversation avec le vendeur.";Envoi Je suis vendeur
Envoi Je suis vendeur Politique de remboursement de Vinted;"Politique de remboursement de Vinted
Quand est ce que Vinted peut procéder à mon remboursement ?
Lorsque tu payes un article via le bouton Acheter, ton achat est couvert par notreProtection Acheteur .
Grâce à la Protection Acheteur, tu peux recevoir un remboursement, si la commande :
N’est significativement pas conforme à la description du vendeur, ou bienN’a pas été livrée, ou bienA été abimée durant la livraison, ou bienA été annulée par Vinted, ou bienA été annulée manuellement par toi ou le vendeur
Si l’article que tu as commandé ne te plait pas ou ne te va simplement pas, malheureusement, il n’est pas possible de demander un remboursement à Vinted. Dans ce type de situation, tu peux essayer de discuter avec le vendeur concernant un éventuel retour à l’amiable. Tu peux également remettre l’article en question en vente dans ton dressing sur Vinted.
Combien de temps ai-je pour demander un remboursement ?
Si tu annules la transaction, ou bien si celle-ci a été annulée par le vendeur ou par Vinted, tu seras remboursé automatiquement.
Dans d’autres cas, pour demander un remboursement, il te faudra cliquer sur le bouton « J’ai un problème », en respectant les conditions suivantes :
Dans un délai de 2 jours suivant la livraison de l’article, si celui-ci n’est significativement pas conforme à la description du vendeur, ou bien endommagéDans un délai de 2 jours suivant la date de livraison prévue si ton article n’est pas arrivé
Si tu considères que l’article reçu n’est significativement pas conforme à sa description et que tu cliques sur le bouton « J’ai un problème » dans les 2 jours suivant la livraison, nous bloquerons le paiement le temps que tu contactes le vendeur. Explique lui alors simplement le problème rencontré avec l’article, et il est fort probable que vous parviendrez à trouver une solution à l’amiable.
Si vous vous accordez sur le fait que tu (l’acheteur) gardes l’article, clique sur le boutonRésoudre le litige dans ta conversation avec le vendeur, et le paiement lui sera transmis.
Au contraire, si vous ne parvenez pas à trouver une solution entre vous, contacte-nous afin que nous puissions trancher, et décider de l’issue de la situation.
A noter : Si tu ne respectes pas les délais mentionnés ci-dessus, ou si tu cliques sur « Tout est OK » dans les 2 jours suivant la livraison de l’article, ton achat sera finalisé, et le paiement sera automatiquement transmis au vendeur.
Frais de retour
Les frais de retour sont toujours à la charge de l’acheteur, à moins d’un arrangement à l’amiable avec le vendeur.
Retourner l’article
Si tu contactes le vendeur et que vous trouvez un accord entre vous concernant ton remboursement, vous pouvez également déterminer une date pour le retour de l’article. Dés que tu auras transmis le numéro de suivi du colis au vendeur, celui-ci pourra annuler la transaction et te transmettre le remboursement.
Si vous n’êtes pas parvenus à un arrangement concernant le retour, et qu’après avoir examiné le litige, nous confirmons que tu es éligible à un remboursement, tu auras 5 jours pour retourner l’article à l’adresse fournie par le vendeur, via un envoi avec numéro de suivi. Habituellement, nous déclenchons le remboursement lorsque l’acheteur nous transmet le numéro de suivi valide pour le retour de l’article au vendeur.
Important : Si tu ne renvoies pas l’article dans ce délai de 5 jours, la transaction sera validée, et le paiement sera transmis au vendeur.
Quand vais-je recevoir mon remboursement ?
Les délais de remboursement sont les suivants :
Si tu as payé par carte bancaire, tu recevras ton remboursement sous 4 jours ouvrés.Si tu as payé avec le contenu de ton Porte-Monnaie Vinted, tu recevras ton remboursement sous quelques heures.Si tu as payé une partie de ton achat avec ton Porte-Monnaie, et l’autre partie par carte bancaire, la partie correspondante de ton remboursement apparaîtra sur ton Porte-Monnaie sous quelques heures, et l’autre partie sur ton compte bancaire, sous 4 jours ouvrés.
A noter : Selon les banques, ton remboursement peut mettre jusqu’à 15 jours pour apparaître sur ton compte bancaire.";Envoi Je suis vendeur
Envoi Je suis acheteur Comment fonctionne la livraison d'un colis ?;"Comment fonctionne la livraison d'un colis ?
Après l'achat d'un de ses articles, le vendeur est automatiquement informé du mode de livraison choisi par l'acheteur.Le vendeur a 5 jours pour envoyer l’article.L’acheteur est tenu informé dès que l'article a été envoyé (après la mise à jour du suivi ou après que le vendeur ait cliqué surJ’ai expédié ).Pour les envois avec suivi : l'acheteur pourrasuivre la livraison du colis depuis sa fenêtre de conversation avec le vendeur.
Bon à savoir :
Nous annulerons la transaction, si :Le vendeur ne se connecte pas sur son compte 3 jours après l’achat d’un de ses articles.L’article n’a pas été envoyé à temps, ou que le suivi ne s'est pas mis à jour 4 jours après que le vendeur ait cliqué surJ’ai expédié.La mise à jour du suivi sur Vinted peut prendre jusqu'à 48 heures (dans le cas d'un envoi avec suivi).";Envoi Je suis acheteur
Envoi Je suis acheteur Options d'envoi pour les acheteurs;"Options d'envoi pour les acheteurs
Lorsque tu achètes un article, tu peux choisir ton option d'envoi préférée pour recevoir ta commande. Tu peux voir tous les choix d’expédition et leur coût à côté du prix de l’article. Les options qui te sont proposées dépendent de ton emplacement et de celui de ton vendeur, ainsi que de ses paramètres.Les vendeurs peuvent te proposer les choix d'expédition suivants :
Remarque : Pour les noms de pays, nous utilisons les abréviations suivantes : FR - France; ES - Espagne; BE - Belgique; LU - Luxembourg; NL - Pays-Bas.
Transporteur : Mondial Relay
Suivi : Oui
Mode d'envoi : De / au point relais
Pays : FR   FR; BE  BE; ES   ES; LU   LU; FR   BE; FR   ES; FR   LU; BE   ES; BE   LU; ES   LU
------
Transporteur : Chrono Shop2Shop
Suivi : Oui
Mode d'envoi : De / au point relais
Pays : FR   FR; FR   BE; FR   NL; FR   LU 
------
Transporteur : La Poste
Suivi : Oui
Mode d'envoi : D'un bureau de poste à ton adresse
Pays : FR   FR 
------
Transporteur : Colissimo
Suivi : Oui
Mode d'envoi : D'un bureau de poste à ton adresse
Pays : FR   BE; FR   ES; FR   NL 
------
Transporteur : Bpost
Suivi : Oui
Mode d'envoi : D'un bureau de poste à ton adresse
Pays : BE   BE; BE   FR; BE   ES; BE   NL; BE   LU
------
Transporteur : Correos Domicilio
Suivi : Oui
Mode d'envoi : D'un bureau de poste à ton adresse
Pays : ES   ES
------
Transporteur : Correos Oficina
Suivi : Oui
Mode d'envoi : D'un bureau de poste au bureau de poste
Pays : ES   ES
------
Transporteur : Correos International
Suivi : Oui
Mode d'envoi : D'un bureau de poste à ton adresse
Pays : ES   FR; ES   BE; ES   NL; ES   LU
------
Transporteur : PostNL
Suivi : Oui
Mode d'envoi : D'un bureau de poste à ton adresse
Pays : NL   NL; NL   FR; NL   BE; NL   ES 
------
Transporteur : PostLU
Suivi : Oui
Mode d'envoi : D'un bureau de poste à ton adresse
Pays : LU   NL 
------
Transporteur : DPD Pickup*
Suivi : Oui
Mode d'envoi : D'un bureau de poste au bureau de poste
Pays : NL   NL; NL   BE; NL   FR; NL   LU
------
Transporteur : DHL Home Delivery
Suivi : Oui
Mode d'envoi : D'un point relais à l'adresse de l'acheteur
Pays : BE   NL; ES   NL
------
Transporteur : DHL ServicePoint
Suivi : Oui
Mode d'envoi : D'un bureau de poste à un point relais
Pays : NL   NL; NL   BE; NL   FR; NL   ES
------
Transporteur : Les frais de port personnalisés (mode de livraison de ton choix)
Suivi : Oui
Mode d'envoi : Dépend du mode de livraison
Pays : Dépend du mode de livraison
------
*Si tu es acheteur vivant en France et ton colis a été envoyé avec DPD Pickup, ton colis peut également arriver à un point relais Chrono Shop2Shop : cela dépend du lieu de livraison que tu as choisi.
Découvre les prix d'expédition .";Envoi Je suis acheteur
Envoi Je suis acheteur Envoi international - guide pour les acheteurs;"Envoi international - guide pour les acheteurs
L'expédition internationale fonctionne de la même manière quel'expédition nationale . Les options d’envoi qui te sont proposées pour un article en particulier dépendent de ton emplacement et de celle du vendeur.
La livraison est disponible en Belgique, en Espagne, en France, aux Pays-Bas, au Luxembourg et entre ces pays.
Transporteurs internationaux
Remarque : Pour les noms de pays, nous utilisons les abréviations suivantes ci-dessous : FR - France; ES - Espagne; BE - Belgique; LU - Luxembourg; NL - Pays-Bas.
Transporteur : Mondial Relay
Suivi : Oui
Envoi : De / à point relais
Pays : FR   FR; BE   BE; ES   ES; LU   LU; FR   BE; FR   ES; BE   ES; BE   LU; ES   LU; FR   LU
------
Transporteur : Chrono Shop2Shop
Suivi : Oui
Envoi : De / à point relais
Pays : FR   FR; FR   BE; FR   NL; FR   LU
------
Transporteur : Colissimo
Suivi : Oui
Envoi : D'un bureau de poste à ton adresse
Pays : FR   BE; FR   ES; FR   NL
------
Transporteur : Bpost
Suivi : Oui
Envoi : D'un bureau de poste à ton adresse
Pays : BE   BE; BE   FR; BE   ES; BE   NL; BE   LU
------
Transporteur : Correos International
Suivi : Oui
Envoi : D'un bureau de poste à ton adresse
Pays : ES   FR; ES   BE; ES   NL; ES   LU 
------
Transporteur : PostNL
Suivi : Oui
Envoi : D'un bureau de poste à ton adresse
Pays : NL   NL; NL   FR; NL   BE; NL   ES
------
Transporteur : PostLU
Suivi : Oui
Envoi : D'un bureau de poste à ton adresse
Pays : LU   NL
------
Prix
Les frais de port dépendent du transporteur choisi et de ton emplacement. Tu peux voir les options d'envoi à côté du prix de chaque article.
Quels sont les délais de livraison international?
Généralement la réception de ton colis prends de 4 à 7 jours ouvrables. Les délais de livraison peuvent varier en fonction du fournisseur d'expédition, de la localisation de l'acheteur et du vendeur.
Bon à savoir
Tu peuxsuivre ton colis .Les vendeurs ont 5 jours ouvrés pour expédier l’article, en fonction du mode d’envoi choisi.";Envoi Je suis acheteur
Envoi Je suis acheteur Comment modifier mon adresse ?;"Comment modifier mon adresse ?
Tu peux modifier ou ajouter ton adresse de 2 façons :Quand tu effectueras ton premier achat, nous te demanderons d’ajouter ton adresse.Tu auras encore la possibilité de modifier ton adresse par la suite.Comment procéder :Rends-toi dansMes paramètresClique ensuite surEnvoiModifie ou ajoute ton adresseClique enfin surEnregistrer pour sauvegarder ces changementsBon à savoir :Quand tu ajoutes ton code postal, le nom de ta ville va s’inscrire automatiquementTes informations personnelles resteront toujours confidentielles sur notre plateforme.";Envoi Je suis acheteur
Envoi Je suis acheteur Comment suivre ton colis ?;"Comment suivre ton colis ?
Tu peux suivre ton colis s’il a été envoyé avec suivi :
La PosteColissimoBpostPostNLPostLUCorreos DomicilioCorreos OficinaCorreos InternationalMondial RelayChrono Shop2ShopDPD
Suis ton colis :
1. Clique surSuivre le colis dans la fenêtre de conversation avec le vendeur / acheteur
2. Tu auras 3 options :
Voir où est ton colis et la date de livraison estiméeCopier le numéro de suivi, l’insérer sur le site du transporteur pour suivre la livraisonConfirmer que tu as bien reçu l’article.
Bon à savoir :
La mise à jour du suivi sur Vinted peut prendre jusqu’à 48 heures.Pour les acheteurs : si ta transaction est notifiée commeLivrée mais que tu n’as pas encore reçu ton article ou encore que tu as bien reçu l’article mais qu’il ne correspond pas à sa description, tu peux cliquer sur le boutonJ’ai un problème qui apparaîtra dans ta fenêtre de conversation avec le vendeur.";Envoi Je suis acheteur
Envoi Je suis acheteur Combien de temps prend la livraison ?;"Combien de temps prend la livraison ?
  Le temps de livraison d’un colis dépend du service de livraison choisi par l’acheteur, et le temps de traitement du vendeur.
L’acheteur peut voir le temps de livraison estimé au moment de valider la commande. Ils est également avertis lorsque le vendeur transmet le colis au transporteur.
Temps de traitement de la commande par le vendeur
Le vendeur a jusqu’à 5 jours ouvrés pour envoyer l’article, selon la méthode de livraison choisie par l’acheteur.
Temps de livraison
Le temps de livraison varie selon la destination du colis, et selon le prestataire : En général, la livraison nationale prend entre 2 et 5 jours ouvrés, et la livraison internationale, entre 4 et 7 jours ouvrés.Pour certaines raisons, il est possible que la livraison prenne parfois plus longtemps. Les samedis, dimanches, et les jours fériés ne sont en général pas inclus dans l’estimation du temps de livraison.
Suivi du colis
L’acheteur et le vendeur peuvent suivre le colis dans leur fenêtre de conversation. Ainsi, ils peuvent savoir où se trouve le colis, et quand est prévue la livraison.
Résolution des problèmes de livraison
Si tu es acheteur, et que ton article n’est pas arrivé, est arrivé endommagé, ou ne correspond significativement pas à la description du vendeur, clique sur le boutonJ’ai un problèmedans les délais suivants :
Dans les 2 jours suivant la livraison de l’article, si celui-ci est significativement non conforme à la description du vendeur, ou bien est endommagé, ou bienDans les 2 jours suivant la date de livraison prévue, si l’article n’a pas été livré.
Tu trouveras plus d’informations utiles dans notrePolitique de remboursement";Envoi Je suis acheteur
